value,real
"tf.Tensor([46.884647], shape=(1,), dtype=float32)",50
"tf.Tensor([73.771454], shape=(1,), dtype=float32)",75
"tf.Tensor([48.93804], shape=(1,), dtype=float32)",47
"tf.Tensor([77.23546], shape=(1,), dtype=float32)",76
"tf.Tensor([54.858936], shape=(1,), dtype=float32)",48
"tf.Tensor([77.22709], shape=(1,), dtype=float32)",76
"tf.Tensor([48.433372], shape=(1,), dtype=float32)",48
"tf.Tensor([72.32022], shape=(1,), dtype=float32)",75
"tf.Tensor([52.359734], shape=(1,), dtype=float32)",49
"tf.Tensor([59.180386], shape=(1,), dtype=float32)",48
"tf.Tensor([73.98553], shape=(1,), dtype=float32)",78
"tf.Tensor([72.177025], shape=(1,), dtype=float32)",79
"tf.Tensor([43.625328], shape=(1,), dtype=float32)",50
"tf.Tensor([60.91037], shape=(1,), dtype=float32)",50
"tf.Tensor([81.74459], shape=(1,), dtype=float32)",83
"tf.Tensor([66.43594], shape=(1,), dtype=float32)",51
"tf.Tensor([77.80268], shape=(1,), dtype=float32)",81
"tf.Tensor([72.120056], shape=(1,), dtype=float32)",49
"tf.Tensor([81.547485], shape=(1,), dtype=float32)",81
"tf.Tensor([59.424797], shape=(1,), dtype=float32)",50
"tf.Tensor([80.783005], shape=(1,), dtype=float32)",81
"tf.Tensor([57.37893], shape=(1,), dtype=float32)",50
"tf.Tensor([70.62007], shape=(1,), dtype=float32)",77
"tf.Tensor([53.495895], shape=(1,), dtype=float32)",51
"tf.Tensor([76.34936], shape=(1,), dtype=float32)",80
"tf.Tensor([73.65693], shape=(1,), dtype=float32)",80
"tf.Tensor([48.065693], shape=(1,), dtype=float32)",52
"tf.Tensor([77.73692], shape=(1,), dtype=float32)",51
"tf.Tensor([82.460434], shape=(1,), dtype=float32)",78
"tf.Tensor([44.85563], shape=(1,), dtype=float32)",50
"tf.Tensor([87.74609], shape=(1,), dtype=float32)",80
"tf.Tensor([80.908585], shape=(1,), dtype=float32)",83
"tf.Tensor([48.06546], shape=(1,), dtype=float32)",51
"tf.Tensor([81.339935], shape=(1,), dtype=float32)",83
"tf.Tensor([67.20352], shape=(1,), dtype=float32)",52
"tf.Tensor([70.410416], shape=(1,), dtype=float32)",84
"tf.Tensor([56.563217], shape=(1,), dtype=float32)",52
"tf.Tensor([56.88461], shape=(1,), dtype=float32)",52
"tf.Tensor([86.45685], shape=(1,), dtype=float32)",82
"tf.Tensor([82.9268], shape=(1,), dtype=float32)",84
"tf.Tensor([63.834713], shape=(1,), dtype=float32)",53
"tf.Tensor([72.31272], shape=(1,), dtype=float32)",81
"tf.Tensor([63.976006], shape=(1,), dtype=float32)",51
"tf.Tensor([69.021515], shape=(1,), dtype=float32)",52
"tf.Tensor([83.02446], shape=(1,), dtype=float32)",81
"tf.Tensor([81.78756], shape=(1,), dtype=float32)",83
"tf.Tensor([49.583954], shape=(1,), dtype=float32)",50
"tf.Tensor([76.17944], shape=(1,), dtype=float32)",82
"tf.Tensor([51.112274], shape=(1,), dtype=float32)",52
"tf.Tensor([65.23334], shape=(1,), dtype=float32)",52
"tf.Tensor([81.07179], shape=(1,), dtype=float32)",80
"tf.Tensor([66.52702], shape=(1,), dtype=float32)",80
"tf.Tensor([53.99003], shape=(1,), dtype=float32)",51
"tf.Tensor([77.05393], shape=(1,), dtype=float32)",81
"tf.Tensor([56.34741], shape=(1,), dtype=float32)",53
"tf.Tensor([66.360016], shape=(1,), dtype=float32)",55
"tf.Tensor([80.03249], shape=(1,), dtype=float32)",83
"tf.Tensor([84.51404], shape=(1,), dtype=float32)",81
"tf.Tensor([55.43779], shape=(1,), dtype=float32)",52
"tf.Tensor([82.26491], shape=(1,), dtype=float32)",83
"tf.Tensor([55.131874], shape=(1,), dtype=float32)",52
"tf.Tensor([70.57925], shape=(1,), dtype=float32)",85
"tf.Tensor([56.86066], shape=(1,), dtype=float32)",55
"tf.Tensor([55.04961], shape=(1,), dtype=float32)",54
"tf.Tensor([76.36695], shape=(1,), dtype=float32)",82
"tf.Tensor([58.404854], shape=(1,), dtype=float32)",53
"tf.Tensor([83.99651], shape=(1,), dtype=float32)",85
"tf.Tensor([74.6384], shape=(1,), dtype=float32)",82
"tf.Tensor([48.727425], shape=(1,), dtype=float32)",54
"tf.Tensor([70.02486], shape=(1,), dtype=float32)",53
"tf.Tensor([80.491425], shape=(1,), dtype=float32)",81
"tf.Tensor([78.46945], shape=(1,), dtype=float32)",81
"tf.Tensor([55.215103], shape=(1,), dtype=float32)",54
"tf.Tensor([61.233818], shape=(1,), dtype=float32)",54
"tf.Tensor([78.89294], shape=(1,), dtype=float32)",80
"tf.Tensor([53.58053], shape=(1,), dtype=float32)",54
"tf.Tensor([85.70203], shape=(1,), dtype=float32)",83
"tf.Tensor([72.36249], shape=(1,), dtype=float32)",52
"tf.Tensor([82.38913], shape=(1,), dtype=float32)",76
"tf.Tensor([49.187992], shape=(1,), dtype=float32)",54
"tf.Tensor([74.90463], shape=(1,), dtype=float32)",81
"tf.Tensor([54.012875], shape=(1,), dtype=float32)",80
"tf.Tensor([46.8168], shape=(1,), dtype=float32)",56
"tf.Tensor([57.74488], shape=(1,), dtype=float32)",58
"tf.Tensor([80.19547], shape=(1,), dtype=float32)",83
"tf.Tensor([75.50564], shape=(1,), dtype=float32)",80
"tf.Tensor([48.87474], shape=(1,), dtype=float32)",57
"tf.Tensor([71.99544], shape=(1,), dtype=float32)",85
"tf.Tensor([46.53995], shape=(1,), dtype=float32)",58
"tf.Tensor([72.18634], shape=(1,), dtype=float32)",60
"tf.Tensor([95.984856], shape=(1,), dtype=float32)",85
"tf.Tensor([69.46523], shape=(1,), dtype=float32)",90
"tf.Tensor([64.112335], shape=(1,), dtype=float32)",61
"tf.Tensor([82.29736], shape=(1,), dtype=float32)",88
"tf.Tensor([65.7742], shape=(1,), dtype=float32)",60
"tf.Tensor([83.97165], shape=(1,), dtype=float32)",94
"tf.Tensor([64.86433], shape=(1,), dtype=float32)",60
"tf.Tensor([79.146225], shape=(1,), dtype=float32)",59
"tf.Tensor([95.60948], shape=(1,), dtype=float32)",91
"tf.Tensor([69.69848], shape=(1,), dtype=float32)",60
"tf.Tensor([96.41434], shape=(1,), dtype=float32)",92
"tf.Tensor([79.92363], shape=(1,), dtype=float32)",61
"tf.Tensor([92.414154], shape=(1,), dtype=float32)",93
"tf.Tensor([76.006454], shape=(1,), dtype=float32)",63
"tf.Tensor([95.73245], shape=(1,), dtype=float32)",95
"tf.Tensor([74.18353], shape=(1,), dtype=float32)",63
"tf.Tensor([88.47216], shape=(1,), dtype=float32)",96
"tf.Tensor([83.20553], shape=(1,), dtype=float32)",97
"tf.Tensor([64.091354], shape=(1,), dtype=float32)",62
"tf.Tensor([87.40987], shape=(1,), dtype=float32)",100
