value
"tf.Tensor([22.593012], shape=(1,), dtype=float32)"
"tf.Tensor([21.099995], shape=(1,), dtype=float32)"
"tf.Tensor([25.531185], shape=(1,), dtype=float32)"
"tf.Tensor([24.922884], shape=(1,), dtype=float32)"
"tf.Tensor([32.673443], shape=(1,), dtype=float32)"
"tf.Tensor([24.871912], shape=(1,), dtype=float32)"
"tf.Tensor([31.278637], shape=(1,), dtype=float32)"
"tf.Tensor([25.104702], shape=(1,), dtype=float32)"
"tf.Tensor([35.833702], shape=(1,), dtype=float32)"
"tf.Tensor([24.598831], shape=(1,), dtype=float32)"
"tf.Tensor([30.011173], shape=(1,), dtype=float32)"
"tf.Tensor([28.005856], shape=(1,), dtype=float32)"
"tf.Tensor([27.173582], shape=(1,), dtype=float32)"
"tf.Tensor([38.114754], shape=(1,), dtype=float32)"
"tf.Tensor([28.408588], shape=(1,), dtype=float32)"
"tf.Tensor([43.318687], shape=(1,), dtype=float32)"
"tf.Tensor([31.172932], shape=(1,), dtype=float32)"
"tf.Tensor([64.35478], shape=(1,), dtype=float32)"
"tf.Tensor([50.556892], shape=(1,), dtype=float32)"
"tf.Tensor([53.812904], shape=(1,), dtype=float32)"
"tf.Tensor([33.876957], shape=(1,), dtype=float32)"
"tf.Tensor([32.958534], shape=(1,), dtype=float32)"
"tf.Tensor([52.420876], shape=(1,), dtype=float32)"
"tf.Tensor([32.88804], shape=(1,), dtype=float32)"
"tf.Tensor([62.879105], shape=(1,), dtype=float32)"
"tf.Tensor([39.481983], shape=(1,), dtype=float32)"
"tf.Tensor([67.76457], shape=(1,), dtype=float32)"
"tf.Tensor([62.215626], shape=(1,), dtype=float32)"
"tf.Tensor([32.306225], shape=(1,), dtype=float32)"
"tf.Tensor([39.93248], shape=(1,), dtype=float32)"
"tf.Tensor([64.1644], shape=(1,), dtype=float32)"
"tf.Tensor([49.1426], shape=(1,), dtype=float32)"
"tf.Tensor([66.41166], shape=(1,), dtype=float32)"
"tf.Tensor([62.63557], shape=(1,), dtype=float32)"
"tf.Tensor([37.7658], shape=(1,), dtype=float32)"
"tf.Tensor([69.13708], shape=(1,), dtype=float32)"
"tf.Tensor([38.9492], shape=(1,), dtype=float32)"
"tf.Tensor([61.631126], shape=(1,), dtype=float32)"
"tf.Tensor([51.02526], shape=(1,), dtype=float32)"
"tf.Tensor([80.61321], shape=(1,), dtype=float32)"
"tf.Tensor([47.006966], shape=(1,), dtype=float32)"
"tf.Tensor([79.38686], shape=(1,), dtype=float32)"
"tf.Tensor([45.571987], shape=(1,), dtype=float32)"
"tf.Tensor([57.65953], shape=(1,), dtype=float32)"
"tf.Tensor([71.86205], shape=(1,), dtype=float32)"
"tf.Tensor([75.797585], shape=(1,), dtype=float32)"
"tf.Tensor([51.358818], shape=(1,), dtype=float32)"
"tf.Tensor([62.80711], shape=(1,), dtype=float32)"
"tf.Tensor([76.02418], shape=(1,), dtype=float32)"
"tf.Tensor([64.85181], shape=(1,), dtype=float32)"
"tf.Tensor([36.1829], shape=(1,), dtype=float32)"
"tf.Tensor([68.774605], shape=(1,), dtype=float32)"
"tf.Tensor([42.803333], shape=(1,), dtype=float32)"
"tf.Tensor([64.28698], shape=(1,), dtype=float32)"
"tf.Tensor([52.13855], shape=(1,), dtype=float32)"
"tf.Tensor([68.75765], shape=(1,), dtype=float32)"
"tf.Tensor([76.70171], shape=(1,), dtype=float32)"
"tf.Tensor([61.73805], shape=(1,), dtype=float32)"
"tf.Tensor([45.975304], shape=(1,), dtype=float32)"
"tf.Tensor([64.21619], shape=(1,), dtype=float32)"
"tf.Tensor([50.996372], shape=(1,), dtype=float32)"
"tf.Tensor([63.49373], shape=(1,), dtype=float32)"
"tf.Tensor([52.360306], shape=(1,), dtype=float32)"
"tf.Tensor([68.06518], shape=(1,), dtype=float32)"
"tf.Tensor([79.12792], shape=(1,), dtype=float32)"
"tf.Tensor([61.57225], shape=(1,), dtype=float32)"
"tf.Tensor([71.07232], shape=(1,), dtype=float32)"
"tf.Tensor([63.14315], shape=(1,), dtype=float32)"
"tf.Tensor([47.720825], shape=(1,), dtype=float32)"
"tf.Tensor([63.655674], shape=(1,), dtype=float32)"
"tf.Tensor([53.791344], shape=(1,), dtype=float32)"
"tf.Tensor([67.39953], shape=(1,), dtype=float32)"
"tf.Tensor([55.17701], shape=(1,), dtype=float32)"
"tf.Tensor([60.74459], shape=(1,), dtype=float32)"
"tf.Tensor([81.235886], shape=(1,), dtype=float32)"
"tf.Tensor([68.03919], shape=(1,), dtype=float32)"
"tf.Tensor([46.95138], shape=(1,), dtype=float32)"
"tf.Tensor([71.848885], shape=(1,), dtype=float32)"
"tf.Tensor([53.862225], shape=(1,), dtype=float32)"
"tf.Tensor([82.77497], shape=(1,), dtype=float32)"
"tf.Tensor([59.392372], shape=(1,), dtype=float32)"
"tf.Tensor([74.01862], shape=(1,), dtype=float32)"
"tf.Tensor([52.837513], shape=(1,), dtype=float32)"
"tf.Tensor([61.603146], shape=(1,), dtype=float32)"
"tf.Tensor([57.60295], shape=(1,), dtype=float32)"
"tf.Tensor([61.69368], shape=(1,), dtype=float32)"
"tf.Tensor([76.99532], shape=(1,), dtype=float32)"
"tf.Tensor([71.920685], shape=(1,), dtype=float32)"
"tf.Tensor([50.278015], shape=(1,), dtype=float32)"
"tf.Tensor([63.08934], shape=(1,), dtype=float32)"
"tf.Tensor([78.494415], shape=(1,), dtype=float32)"
"tf.Tensor([61.57985], shape=(1,), dtype=float32)"
"tf.Tensor([74.38915], shape=(1,), dtype=float32)"
"tf.Tensor([62.061913], shape=(1,), dtype=float32)"
"tf.Tensor([79.31727], shape=(1,), dtype=float32)"
"tf.Tensor([52.735916], shape=(1,), dtype=float32)"
"tf.Tensor([78.8366], shape=(1,), dtype=float32)"
"tf.Tensor([49.675503], shape=(1,), dtype=float32)"
"tf.Tensor([76.63577], shape=(1,), dtype=float32)"
"tf.Tensor([54.436176], shape=(1,), dtype=float32)"
"tf.Tensor([69.89983], shape=(1,), dtype=float32)"
"tf.Tensor([43.60013], shape=(1,), dtype=float32)"
"tf.Tensor([27.95506], shape=(1,), dtype=float32)"
"tf.Tensor([53.598183], shape=(1,), dtype=float32)"
"tf.Tensor([72.7383], shape=(1,), dtype=float32)"
