value
"tf.Tensor([36.69846], shape=(1,), dtype=float32)"
"tf.Tensor([25.999079], shape=(1,), dtype=float32)"
"tf.Tensor([39.526634], shape=(1,), dtype=float32)"
"tf.Tensor([30.804811], shape=(1,), dtype=float32)"
"tf.Tensor([52.92213], shape=(1,), dtype=float32)"
"tf.Tensor([50.668945], shape=(1,), dtype=float32)"
"tf.Tensor([51.64548], shape=(1,), dtype=float32)"
"tf.Tensor([33.891613], shape=(1,), dtype=float32)"
"tf.Tensor([32.321888], shape=(1,), dtype=float32)"
"tf.Tensor([59.91422], shape=(1,), dtype=float32)"
"tf.Tensor([33.80086], shape=(1,), dtype=float32)"
"tf.Tensor([61.986893], shape=(1,), dtype=float32)"
"tf.Tensor([35.422935], shape=(1,), dtype=float32)"
"tf.Tensor([61.904613], shape=(1,), dtype=float32)"
"tf.Tensor([52.831898], shape=(1,), dtype=float32)"
"tf.Tensor([34.879143], shape=(1,), dtype=float32)"
"tf.Tensor([58.292004], shape=(1,), dtype=float32)"
"tf.Tensor([63.93192], shape=(1,), dtype=float32)"
"tf.Tensor([53.444126], shape=(1,), dtype=float32)"
"tf.Tensor([60.745926], shape=(1,), dtype=float32)"
"tf.Tensor([53.149918], shape=(1,), dtype=float32)"
"tf.Tensor([35.403835], shape=(1,), dtype=float32)"
"tf.Tensor([63.824562], shape=(1,), dtype=float32)"
"tf.Tensor([46.95054], shape=(1,), dtype=float32)"
"tf.Tensor([68.603096], shape=(1,), dtype=float32)"
"tf.Tensor([47.31213], shape=(1,), dtype=float32)"
"tf.Tensor([72.51959], shape=(1,), dtype=float32)"
"tf.Tensor([58.90597], shape=(1,), dtype=float32)"
"tf.Tensor([72.03431], shape=(1,), dtype=float32)"
"tf.Tensor([51.223392], shape=(1,), dtype=float32)"
"tf.Tensor([65.12079], shape=(1,), dtype=float32)"
"tf.Tensor([77.93117], shape=(1,), dtype=float32)"
"tf.Tensor([61.556557], shape=(1,), dtype=float32)"
"tf.Tensor([48.22009], shape=(1,), dtype=float32)"
"tf.Tensor([60.36805], shape=(1,), dtype=float32)"
"tf.Tensor([73.05515], shape=(1,), dtype=float32)"
"tf.Tensor([60.909565], shape=(1,), dtype=float32)"
"tf.Tensor([48.794376], shape=(1,), dtype=float32)"
"tf.Tensor([61.834927], shape=(1,), dtype=float32)"
"tf.Tensor([51.15579], shape=(1,), dtype=float32)"
"tf.Tensor([66.89545], shape=(1,), dtype=float32)"
"tf.Tensor([53.974155], shape=(1,), dtype=float32)"
"tf.Tensor([62.51455], shape=(1,), dtype=float32)"
"tf.Tensor([74.484375], shape=(1,), dtype=float32)"
"tf.Tensor([59.442886], shape=(1,), dtype=float32)"
"tf.Tensor([49.31695], shape=(1,), dtype=float32)"
"tf.Tensor([62.856457], shape=(1,), dtype=float32)"
"tf.Tensor([49.682983], shape=(1,), dtype=float32)"
"tf.Tensor([62.67198], shape=(1,), dtype=float32)"
"tf.Tensor([53.455784], shape=(1,), dtype=float32)"
"tf.Tensor([63.028446], shape=(1,), dtype=float32)"
"tf.Tensor([75.3067], shape=(1,), dtype=float32)"
"tf.Tensor([61.12843], shape=(1,), dtype=float32)"
"tf.Tensor([72.24626], shape=(1,), dtype=float32)"
"tf.Tensor([55.889126], shape=(1,), dtype=float32)"
"tf.Tensor([48.128323], shape=(1,), dtype=float32)"
"tf.Tensor([62.101376], shape=(1,), dtype=float32)"
"tf.Tensor([50.328266], shape=(1,), dtype=float32)"
"tf.Tensor([62.741493], shape=(1,), dtype=float32)"
"tf.Tensor([52.303246], shape=(1,), dtype=float32)"
"tf.Tensor([63.94441], shape=(1,), dtype=float32)"
"tf.Tensor([97.5919], shape=(1,), dtype=float32)"
"tf.Tensor([63.052326], shape=(1,), dtype=float32)"
"tf.Tensor([55.047066], shape=(1,), dtype=float32)"
"tf.Tensor([77.21695], shape=(1,), dtype=float32)"
"tf.Tensor([56.866123], shape=(1,), dtype=float32)"
"tf.Tensor([86.17407], shape=(1,), dtype=float32)"
"tf.Tensor([59.831097], shape=(1,), dtype=float32)"
"tf.Tensor([80.56014], shape=(1,), dtype=float32)"
"tf.Tensor([51.78223], shape=(1,), dtype=float32)"
"tf.Tensor([63.7348], shape=(1,), dtype=float32)"
"tf.Tensor([55.063583], shape=(1,), dtype=float32)"
"tf.Tensor([63.485928], shape=(1,), dtype=float32)"
"tf.Tensor([75.27261], shape=(1,), dtype=float32)"
"tf.Tensor([65.26681], shape=(1,), dtype=float32)"
"tf.Tensor([49.686813], shape=(1,), dtype=float32)"
"tf.Tensor([64.43765], shape=(1,), dtype=float32)"
"tf.Tensor([75.93884], shape=(1,), dtype=float32)"
"tf.Tensor([65.97465], shape=(1,), dtype=float32)"
"tf.Tensor([76.10806], shape=(1,), dtype=float32)"
"tf.Tensor([55.76325], shape=(1,), dtype=float32)"
"tf.Tensor([65.45253], shape=(1,), dtype=float32)"
"tf.Tensor([50.49941], shape=(1,), dtype=float32)"
"tf.Tensor([75.15097], shape=(1,), dtype=float32)"
"tf.Tensor([53.89354], shape=(1,), dtype=float32)"
"tf.Tensor([75.801575], shape=(1,), dtype=float32)"
"tf.Tensor([57.29135], shape=(1,), dtype=float32)"
"tf.Tensor([79.301834], shape=(1,), dtype=float32)"
"tf.Tensor([54.910397], shape=(1,), dtype=float32)"
"tf.Tensor([48.608795], shape=(1,), dtype=float32)"
"tf.Tensor([64.05031], shape=(1,), dtype=float32)"
"tf.Tensor([80.98947], shape=(1,), dtype=float32)"
"tf.Tensor([56.720848], shape=(1,), dtype=float32)"
"tf.Tensor([66.33026], shape=(1,), dtype=float32)"
"tf.Tensor([52.47031], shape=(1,), dtype=float32)"
"tf.Tensor([38.653095], shape=(1,), dtype=float32)"
"tf.Tensor([63.884434], shape=(1,), dtype=float32)"
"tf.Tensor([50.411053], shape=(1,), dtype=float32)"
"tf.Tensor([65.01431], shape=(1,), dtype=float32)"
"tf.Tensor([51.88228], shape=(1,), dtype=float32)"
"tf.Tensor([67.99], shape=(1,), dtype=float32)"
"tf.Tensor([78.451096], shape=(1,), dtype=float32)"
"tf.Tensor([60.248127], shape=(1,), dtype=float32)"
"tf.Tensor([54.622562], shape=(1,), dtype=float32)"
"tf.Tensor([64.87523], shape=(1,), dtype=float32)"
"tf.Tensor([52.3449], shape=(1,), dtype=float32)"
"tf.Tensor([62.401783], shape=(1,), dtype=float32)"
"tf.Tensor([76.74957], shape=(1,), dtype=float32)"
"tf.Tensor([68.61755], shape=(1,), dtype=float32)"
"tf.Tensor([51.49278], shape=(1,), dtype=float32)"
"tf.Tensor([69.535095], shape=(1,), dtype=float32)"
"tf.Tensor([50.67292], shape=(1,), dtype=float32)"
"tf.Tensor([62.887997], shape=(1,), dtype=float32)"
"tf.Tensor([77.094315], shape=(1,), dtype=float32)"
"tf.Tensor([68.895836], shape=(1,), dtype=float32)"
"tf.Tensor([51.798717], shape=(1,), dtype=float32)"
"tf.Tensor([71.73096], shape=(1,), dtype=float32)"
"tf.Tensor([49.80711], shape=(1,), dtype=float32)"
"tf.Tensor([63.316753], shape=(1,), dtype=float32)"
"tf.Tensor([77.6865], shape=(1,), dtype=float32)"
"tf.Tensor([80.987076], shape=(1,), dtype=float32)"
"tf.Tensor([55.17822], shape=(1,), dtype=float32)"
"tf.Tensor([86.80484], shape=(1,), dtype=float32)"
"tf.Tensor([54.68217], shape=(1,), dtype=float32)"
"tf.Tensor([72.472664], shape=(1,), dtype=float32)"
"tf.Tensor([59.026173], shape=(1,), dtype=float32)"
"tf.Tensor([62.418686], shape=(1,), dtype=float32)"
"tf.Tensor([81.75061], shape=(1,), dtype=float32)"
"tf.Tensor([55.67204], shape=(1,), dtype=float32)"
"tf.Tensor([90.04741], shape=(1,), dtype=float32)"
"tf.Tensor([70.47389], shape=(1,), dtype=float32)"
"tf.Tensor([53.750965], shape=(1,), dtype=float32)"
"tf.Tensor([66.62658], shape=(1,), dtype=float32)"
"tf.Tensor([78.537994], shape=(1,), dtype=float32)"
"tf.Tensor([64.05887], shape=(1,), dtype=float32)"
"tf.Tensor([46.871098], shape=(1,), dtype=float32)"
"tf.Tensor([60.320232], shape=(1,), dtype=float32)"
"tf.Tensor([76.326805], shape=(1,), dtype=float32)"
"tf.Tensor([63.00127], shape=(1,), dtype=float32)"
"tf.Tensor([76.50305], shape=(1,), dtype=float32)"
"tf.Tensor([56.266827], shape=(1,), dtype=float32)"
"tf.Tensor([74.26047], shape=(1,), dtype=float32)"
"tf.Tensor([56.040874], shape=(1,), dtype=float32)"
"tf.Tensor([69.736984], shape=(1,), dtype=float32)"
"tf.Tensor([56.087112], shape=(1,), dtype=float32)"
"tf.Tensor([44.46658], shape=(1,), dtype=float32)"
"tf.Tensor([56.781303], shape=(1,), dtype=float32)"
"tf.Tensor([80.48298], shape=(1,), dtype=float32)"
"tf.Tensor([58.625076], shape=(1,), dtype=float32)"
"tf.Tensor([48.25809], shape=(1,), dtype=float32)"
"tf.Tensor([59.33343], shape=(1,), dtype=float32)"
"tf.Tensor([53.87552], shape=(1,), dtype=float32)"
"tf.Tensor([61.03989], shape=(1,), dtype=float32)"
"tf.Tensor([80.51544], shape=(1,), dtype=float32)"
"tf.Tensor([69.62277], shape=(1,), dtype=float32)"
"tf.Tensor([50.52109], shape=(1,), dtype=float32)"
"tf.Tensor([74.350235], shape=(1,), dtype=float32)"
"tf.Tensor([64.72357], shape=(1,), dtype=float32)"
"tf.Tensor([90.76907], shape=(1,), dtype=float32)"
"tf.Tensor([68.94065], shape=(1,), dtype=float32)"
"tf.Tensor([86.504456], shape=(1,), dtype=float32)"
"tf.Tensor([87.73602], shape=(1,), dtype=float32)"
"tf.Tensor([65.793686], shape=(1,), dtype=float32)"
"tf.Tensor([92.548805], shape=(1,), dtype=float32)"
"tf.Tensor([60.111797], shape=(1,), dtype=float32)"
"tf.Tensor([91.703064], shape=(1,), dtype=float32)"
"tf.Tensor([61.647083], shape=(1,), dtype=float32)"
"tf.Tensor([91.49873], shape=(1,), dtype=float32)"
"tf.Tensor([70.126274], shape=(1,), dtype=float32)"
"tf.Tensor([82.49786], shape=(1,), dtype=float32)"
"tf.Tensor([75.495964], shape=(1,), dtype=float32)"
"tf.Tensor([66.537224], shape=(1,), dtype=float32)"
"tf.Tensor([92.79399], shape=(1,), dtype=float32)"
"tf.Tensor([70.434586], shape=(1,), dtype=float32)"
"tf.Tensor([87.199326], shape=(1,), dtype=float32)"
"tf.Tensor([94.73392], shape=(1,), dtype=float32)"
"tf.Tensor([72.95653], shape=(1,), dtype=float32)"
"tf.Tensor([100.98561], shape=(1,), dtype=float32)"
"tf.Tensor([80.722946], shape=(1,), dtype=float32)"
"tf.Tensor([59.171345], shape=(1,), dtype=float32)"
"tf.Tensor([76.98285], shape=(1,), dtype=float32)"
"tf.Tensor([91.91357], shape=(1,), dtype=float32)"
"tf.Tensor([71.01373], shape=(1,), dtype=float32)"
"tf.Tensor([86.65204], shape=(1,), dtype=float32)"
"tf.Tensor([68.8203], shape=(1,), dtype=float32)"
"tf.Tensor([94.14538], shape=(1,), dtype=float32)"
"tf.Tensor([68.63289], shape=(1,), dtype=float32)"
"tf.Tensor([76.73791], shape=(1,), dtype=float32)"
"tf.Tensor([86.73509], shape=(1,), dtype=float32)"
"tf.Tensor([69.86366], shape=(1,), dtype=float32)"
"tf.Tensor([75.659676], shape=(1,), dtype=float32)"
"tf.Tensor([102.559906], shape=(1,), dtype=float32)"
"tf.Tensor([85.47177], shape=(1,), dtype=float32)"
"tf.Tensor([80.53478], shape=(1,), dtype=float32)"
"tf.Tensor([71.386765], shape=(1,), dtype=float32)"
"tf.Tensor([93.66875], shape=(1,), dtype=float32)"
"tf.Tensor([75.90405], shape=(1,), dtype=float32)"
"tf.Tensor([83.19997], shape=(1,), dtype=float32)"
"tf.Tensor([93.87648], shape=(1,), dtype=float32)"
"tf.Tensor([93.04955], shape=(1,), dtype=float32)"
"tf.Tensor([74.722466], shape=(1,), dtype=float32)"
"tf.Tensor([97.12304], shape=(1,), dtype=float32)"
"tf.Tensor([96.56957], shape=(1,), dtype=float32)"
"tf.Tensor([80.754684], shape=(1,), dtype=float32)"
"tf.Tensor([87.18107], shape=(1,), dtype=float32)"
"tf.Tensor([98.60572], shape=(1,), dtype=float32)"
"tf.Tensor([100.49953], shape=(1,), dtype=float32)"
"tf.Tensor([82.379074], shape=(1,), dtype=float32)"
"tf.Tensor([82.55147], shape=(1,), dtype=float32)"
"tf.Tensor([101.96687], shape=(1,), dtype=float32)"
"tf.Tensor([80.48688], shape=(1,), dtype=float32)"
"tf.Tensor([99.0302], shape=(1,), dtype=float32)"
"tf.Tensor([102.19369], shape=(1,), dtype=float32)"
"tf.Tensor([95.743774], shape=(1,), dtype=float32)"
"tf.Tensor([90.925575], shape=(1,), dtype=float32)"
"tf.Tensor([97.98326], shape=(1,), dtype=float32)"
"tf.Tensor([105.30037], shape=(1,), dtype=float32)"
"tf.Tensor([99.99143], shape=(1,), dtype=float32)"
"tf.Tensor([91.185745], shape=(1,), dtype=float32)"
"tf.Tensor([106.56256], shape=(1,), dtype=float32)"
"tf.Tensor([90.226845], shape=(1,), dtype=float32)"
"tf.Tensor([98.34625], shape=(1,), dtype=float32)"
"tf.Tensor([108.09799], shape=(1,), dtype=float32)"
"tf.Tensor([92.28581], shape=(1,), dtype=float32)"
"tf.Tensor([108.08522], shape=(1,), dtype=float32)"
"tf.Tensor([95.32013], shape=(1,), dtype=float32)"
"tf.Tensor([93.532745], shape=(1,), dtype=float32)"
"tf.Tensor([109.01166], shape=(1,), dtype=float32)"
"tf.Tensor([94.336044], shape=(1,), dtype=float32)"
"tf.Tensor([107.56215], shape=(1,), dtype=float32)"
"tf.Tensor([94.029434], shape=(1,), dtype=float32)"
"tf.Tensor([103.64575], shape=(1,), dtype=float32)"
"tf.Tensor([106.818665], shape=(1,), dtype=float32)"
"tf.Tensor([92.719635], shape=(1,), dtype=float32)"
"tf.Tensor([107.28015], shape=(1,), dtype=float32)"
"tf.Tensor([99.284775], shape=(1,), dtype=float32)"
"tf.Tensor([93.061516], shape=(1,), dtype=float32)"
"tf.Tensor([99.56847], shape=(1,), dtype=float32)"
"tf.Tensor([103.62719], shape=(1,), dtype=float32)"
"tf.Tensor([100.937614], shape=(1,), dtype=float32)"
"tf.Tensor([93.13895], shape=(1,), dtype=float32)"
"tf.Tensor([104.04193], shape=(1,), dtype=float32)"
"tf.Tensor([106.564384], shape=(1,), dtype=float32)"
"tf.Tensor([104.068634], shape=(1,), dtype=float32)"
"tf.Tensor([81.85828], shape=(1,), dtype=float32)"
"tf.Tensor([103.67631], shape=(1,), dtype=float32)"
"tf.Tensor([105.30066], shape=(1,), dtype=float32)"
"tf.Tensor([104.362625], shape=(1,), dtype=float32)"
"tf.Tensor([80.68692], shape=(1,), dtype=float32)"
"tf.Tensor([99.76248], shape=(1,), dtype=float32)"
"tf.Tensor([79.67271], shape=(1,), dtype=float32)"
"tf.Tensor([93.551414], shape=(1,), dtype=float32)"
"tf.Tensor([95.86577], shape=(1,), dtype=float32)"
"tf.Tensor([87.55736], shape=(1,), dtype=float32)"
"tf.Tensor([87.80264], shape=(1,), dtype=float32)"
"tf.Tensor([95.53434], shape=(1,), dtype=float32)"
"tf.Tensor([86.675385], shape=(1,), dtype=float32)"
"tf.Tensor([93.96663], shape=(1,), dtype=float32)"
"tf.Tensor([92.934265], shape=(1,), dtype=float32)"
"tf.Tensor([90.253265], shape=(1,), dtype=float32)"
"tf.Tensor([66.774994], shape=(1,), dtype=float32)"
"tf.Tensor([94.74301], shape=(1,), dtype=float32)"
"tf.Tensor([82.87977], shape=(1,), dtype=float32)"
"tf.Tensor([64.75879], shape=(1,), dtype=float32)"
"tf.Tensor([90.86365], shape=(1,), dtype=float32)"
"tf.Tensor([86.03717], shape=(1,), dtype=float32)"
"tf.Tensor([91.20512], shape=(1,), dtype=float32)"
"tf.Tensor([98.78236], shape=(1,), dtype=float32)"
"tf.Tensor([85.27234], shape=(1,), dtype=float32)"
"tf.Tensor([79.335175], shape=(1,), dtype=float32)"
"tf.Tensor([85.46489], shape=(1,), dtype=float32)"
"tf.Tensor([88.67171], shape=(1,), dtype=float32)"
"tf.Tensor([68.73339], shape=(1,), dtype=float32)"
"tf.Tensor([87.08035], shape=(1,), dtype=float32)"
"tf.Tensor([65.45888], shape=(1,), dtype=float32)"
"tf.Tensor([84.882675], shape=(1,), dtype=float32)"
"tf.Tensor([67.292984], shape=(1,), dtype=float32)"
"tf.Tensor([48.237637], shape=(1,), dtype=float32)"
