value
"tf.Tensor([18.109673], shape=(1,), dtype=float32)"
"tf.Tensor([12.959888], shape=(1,), dtype=float32)"
"tf.Tensor([18.653513], shape=(1,), dtype=float32)"
"tf.Tensor([15.368156], shape=(1,), dtype=float32)"
"tf.Tensor([20.418612], shape=(1,), dtype=float32)"
"tf.Tensor([17.518147], shape=(1,), dtype=float32)"
"tf.Tensor([27.140768], shape=(1,), dtype=float32)"
"tf.Tensor([19.234722], shape=(1,), dtype=float32)"
"tf.Tensor([25.970984], shape=(1,), dtype=float32)"
"tf.Tensor([22.984224], shape=(1,), dtype=float32)"
"tf.Tensor([32.31102], shape=(1,), dtype=float32)"
"tf.Tensor([30.942663], shape=(1,), dtype=float32)"
"tf.Tensor([29.53087], shape=(1,), dtype=float32)"
"tf.Tensor([32.175827], shape=(1,), dtype=float32)"
"tf.Tensor([20.687449], shape=(1,), dtype=float32)"
"tf.Tensor([32.686302], shape=(1,), dtype=float32)"
"tf.Tensor([28.488317], shape=(1,), dtype=float32)"
"tf.Tensor([35.16581], shape=(1,), dtype=float32)"
"tf.Tensor([33.99639], shape=(1,), dtype=float32)"
"tf.Tensor([41.259064], shape=(1,), dtype=float32)"
"tf.Tensor([57.321358], shape=(1,), dtype=float32)"
"tf.Tensor([43.83501], shape=(1,), dtype=float32)"
"tf.Tensor([29.639225], shape=(1,), dtype=float32)"
"tf.Tensor([29.589945], shape=(1,), dtype=float32)"
"tf.Tensor([52.14869], shape=(1,), dtype=float32)"
"tf.Tensor([45.862198], shape=(1,), dtype=float32)"
"tf.Tensor([52.09498], shape=(1,), dtype=float32)"
"tf.Tensor([40.329502], shape=(1,), dtype=float32)"
"tf.Tensor([54.053288], shape=(1,), dtype=float32)"
"tf.Tensor([46.71266], shape=(1,), dtype=float32)"
"tf.Tensor([35.529236], shape=(1,), dtype=float32)"
"tf.Tensor([37.502884], shape=(1,), dtype=float32)"
"tf.Tensor([60.662785], shape=(1,), dtype=float32)"
"tf.Tensor([51.413708], shape=(1,), dtype=float32)"
"tf.Tensor([69.79758], shape=(1,), dtype=float32)"
"tf.Tensor([49.688034], shape=(1,), dtype=float32)"
"tf.Tensor([34.59603], shape=(1,), dtype=float32)"
"tf.Tensor([61.928265], shape=(1,), dtype=float32)"
"tf.Tensor([49.419502], shape=(1,), dtype=float32)"
"tf.Tensor([62.284508], shape=(1,), dtype=float32)"
"tf.Tensor([56.766792], shape=(1,), dtype=float32)"
"tf.Tensor([75.83883], shape=(1,), dtype=float32)"
