value,real
"tf.Tensor([78.708206], shape=(1,), dtype=float32)",71
"tf.Tensor([66.057014], shape=(1,), dtype=float32)",70
"tf.Tensor([51.187008], shape=(1,), dtype=float32)",45
"tf.Tensor([62.8743], shape=(1,), dtype=float32)",71
"tf.Tensor([49.964607], shape=(1,), dtype=float32)",44
"tf.Tensor([65.07563], shape=(1,), dtype=float32)",74
"tf.Tensor([51.062607], shape=(1,), dtype=float32)",47
"tf.Tensor([66.91449], shape=(1,), dtype=float32)",47
"tf.Tensor([78.64573], shape=(1,), dtype=float32)",72
"tf.Tensor([65.58662], shape=(1,), dtype=float32)",47
"tf.Tensor([80.943886], shape=(1,), dtype=float32)",79
"tf.Tensor([60.85153], shape=(1,), dtype=float32)",76
"tf.Tensor([48.162186], shape=(1,), dtype=float32)",46
"tf.Tensor([62.94692], shape=(1,), dtype=float32)",75
"tf.Tensor([49.486782], shape=(1,), dtype=float32)",45
"tf.Tensor([65.02369], shape=(1,), dtype=float32)",79
"tf.Tensor([51.916355], shape=(1,), dtype=float32)",48
"tf.Tensor([70.86518], shape=(1,), dtype=float32)",48
"tf.Tensor([79.4779], shape=(1,), dtype=float32)",75
"tf.Tensor([65.566605], shape=(1,), dtype=float32)",74
"tf.Tensor([55.189667], shape=(1,), dtype=float32)",50
"tf.Tensor([68.00911], shape=(1,), dtype=float32)",75
"tf.Tensor([49.281128], shape=(1,), dtype=float32)",47
"tf.Tensor([70.180214], shape=(1,), dtype=float32)",76
"tf.Tensor([50.045135], shape=(1,), dtype=float32)",48
"tf.Tensor([71.31807], shape=(1,), dtype=float32)",76
"tf.Tensor([53.777363], shape=(1,), dtype=float32)",48
"tf.Tensor([71.69477], shape=(1,), dtype=float32)",75
"tf.Tensor([52.40218], shape=(1,), dtype=float32)",49
"tf.Tensor([68.32612], shape=(1,), dtype=float32)",48
"tf.Tensor([78.862434], shape=(1,), dtype=float32)",78
"tf.Tensor([68.98979], shape=(1,), dtype=float32)",79
"tf.Tensor([55.084312], shape=(1,), dtype=float32)",50
"tf.Tensor([68.14173], shape=(1,), dtype=float32)",50
"tf.Tensor([78.88711], shape=(1,), dtype=float32)",83
"tf.Tensor([70.19306], shape=(1,), dtype=float32)",51
"tf.Tensor([81.78331], shape=(1,), dtype=float32)",81
"tf.Tensor([66.63914], shape=(1,), dtype=float32)",49
"tf.Tensor([77.38395], shape=(1,), dtype=float32)",81
"tf.Tensor([58.475918], shape=(1,), dtype=float32)",50
"tf.Tensor([71.03214], shape=(1,), dtype=float32)",81
"tf.Tensor([57.490044], shape=(1,), dtype=float32)",50
"tf.Tensor([69.995155], shape=(1,), dtype=float32)",77
"tf.Tensor([54.377083], shape=(1,), dtype=float32)",51
"tf.Tensor([67.917595], shape=(1,), dtype=float32)",80
"tf.Tensor([53.76706], shape=(1,), dtype=float32)",80
"tf.Tensor([49.993767], shape=(1,), dtype=float32)",52
"tf.Tensor([65.14999], shape=(1,), dtype=float32)",51
"tf.Tensor([80.20391], shape=(1,), dtype=float32)",78
"tf.Tensor([70.62137], shape=(1,), dtype=float32)",50
"tf.Tensor([80.28085], shape=(1,), dtype=float32)",80
"tf.Tensor([67.147255], shape=(1,), dtype=float32)",83
"tf.Tensor([50.519684], shape=(1,), dtype=float32)",51
"tf.Tensor([65.70023], shape=(1,), dtype=float32)",83
"tf.Tensor([54.212215], shape=(1,), dtype=float32)",52
"tf.Tensor([66.31158], shape=(1,), dtype=float32)",84
"tf.Tensor([54.908432], shape=(1,), dtype=float32)",52
"tf.Tensor([69.119774], shape=(1,), dtype=float32)",52
"tf.Tensor([79.3049], shape=(1,), dtype=float32)",82
"tf.Tensor([68.051735], shape=(1,), dtype=float32)",84
"tf.Tensor([57.366344], shape=(1,), dtype=float32)",53
"tf.Tensor([67.900566], shape=(1,), dtype=float32)",81
"tf.Tensor([53.476646], shape=(1,), dtype=float32)",51
"tf.Tensor([66.63589], shape=(1,), dtype=float32)",52
"tf.Tensor([78.06747], shape=(1,), dtype=float32)",81
"tf.Tensor([71.21633], shape=(1,), dtype=float32)",83
"tf.Tensor([56.829887], shape=(1,), dtype=float32)",50
"tf.Tensor([71.700066], shape=(1,), dtype=float32)",82
"tf.Tensor([54.190746], shape=(1,), dtype=float32)",52
"tf.Tensor([66.87473], shape=(1,), dtype=float32)",52
"tf.Tensor([78.11588], shape=(1,), dtype=float32)",80
"tf.Tensor([71.51713], shape=(1,), dtype=float32)",80
"tf.Tensor([56.11891], shape=(1,), dtype=float32)",51
"tf.Tensor([70.48486], shape=(1,), dtype=float32)",81
"tf.Tensor([55.871346], shape=(1,), dtype=float32)",53
"tf.Tensor([68.11059], shape=(1,), dtype=float32)",55
"tf.Tensor([79.1793], shape=(1,), dtype=float32)",83
"tf.Tensor([73.20382], shape=(1,), dtype=float32)",81
"tf.Tensor([56.446518], shape=(1,), dtype=float32)",52
"tf.Tensor([73.70242], shape=(1,), dtype=float32)",83
"tf.Tensor([52.2507], shape=(1,), dtype=float32)",52
"tf.Tensor([70.13877], shape=(1,), dtype=float32)",85
"tf.Tensor([55.292583], shape=(1,), dtype=float32)",55
"tf.Tensor([70.445755], shape=(1,), dtype=float32)",54
"tf.Tensor([80.06095], shape=(1,), dtype=float32)",82
"tf.Tensor([64.44753], shape=(1,), dtype=float32)",53
"tf.Tensor([82.69525], shape=(1,), dtype=float32)",85
"tf.Tensor([66.95637], shape=(1,), dtype=float32)",82
"tf.Tensor([49.832764], shape=(1,), dtype=float32)",54
"tf.Tensor([63.474415], shape=(1,), dtype=float32)",53
"tf.Tensor([77.317856], shape=(1,), dtype=float32)",81
"tf.Tensor([69.07073], shape=(1,), dtype=float32)",81
"tf.Tensor([52.477684], shape=(1,), dtype=float32)",54
"tf.Tensor([66.75852], shape=(1,), dtype=float32)",54
"tf.Tensor([74.706276], shape=(1,), dtype=float32)",80
"tf.Tensor([63.39712], shape=(1,), dtype=float32)",54
"tf.Tensor([78.22111], shape=(1,), dtype=float32)",83
"tf.Tensor([51.09411], shape=(1,), dtype=float32)",52
"tf.Tensor([64.89519], shape=(1,), dtype=float32)",76
"tf.Tensor([48.605614], shape=(1,), dtype=float32)",54
"tf.Tensor([63.30459], shape=(1,), dtype=float32)",81
"tf.Tensor([48.77346], shape=(1,), dtype=float32)",80
"tf.Tensor([48.378162], shape=(1,), dtype=float32)",56
"tf.Tensor([60.967667], shape=(1,), dtype=float32)",58
"tf.Tensor([79.36309], shape=(1,), dtype=float32)",83
"tf.Tensor([65.41125], shape=(1,), dtype=float32)",80
"tf.Tensor([49.06595], shape=(1,), dtype=float32)",57
"tf.Tensor([62.43878], shape=(1,), dtype=float32)",85
"tf.Tensor([50.88011], shape=(1,), dtype=float32)",58
"tf.Tensor([66.70885], shape=(1,), dtype=float32)",60
"tf.Tensor([86.70466], shape=(1,), dtype=float32)",85
"tf.Tensor([68.19369], shape=(1,), dtype=float32)",90
"tf.Tensor([54.909447], shape=(1,), dtype=float32)",61
"tf.Tensor([70.65142], shape=(1,), dtype=float32)",88
"tf.Tensor([51.07791], shape=(1,), dtype=float32)",60
"tf.Tensor([76.17246], shape=(1,), dtype=float32)",94
"tf.Tensor([55.63654], shape=(1,), dtype=float32)",60
"tf.Tensor([80.78603], shape=(1,), dtype=float32)",59
"tf.Tensor([86.690544], shape=(1,), dtype=float32)",91
"tf.Tensor([68.06315], shape=(1,), dtype=float32)",60
"tf.Tensor([87.60905], shape=(1,), dtype=float32)",92
"tf.Tensor([64.524635], shape=(1,), dtype=float32)",61
"tf.Tensor([93.063194], shape=(1,), dtype=float32)",93
"tf.Tensor([64.0539], shape=(1,), dtype=float32)",63
"tf.Tensor([87.958405], shape=(1,), dtype=float32)",95
"tf.Tensor([61.98622], shape=(1,), dtype=float32)",63
"tf.Tensor([87.17678], shape=(1,), dtype=float32)",96
"tf.Tensor([69.04202], shape=(1,), dtype=float32)",97
"tf.Tensor([58.823822], shape=(1,), dtype=float32)",62
"tf.Tensor([81.72112], shape=(1,), dtype=float32)",100
"tf.Tensor([64.11297], shape=(1,), dtype=float32)",64
"tf.Tensor([93.68721], shape=(1,), dtype=float32)",65
"tf.Tensor([97.7887], shape=(1,), dtype=float32)",100
"tf.Tensor([72.580696], shape=(1,), dtype=float32)",67
"tf.Tensor([97.29786], shape=(1,), dtype=float32)",99
