value
"tf.Tensor([68.5582], shape=(1,), dtype=float32)"
"tf.Tensor([57.733963], shape=(1,), dtype=float32)"
"tf.Tensor([64.04906], shape=(1,), dtype=float32)"
"tf.Tensor([87.45855], shape=(1,), dtype=float32)"
"tf.Tensor([93.58284], shape=(1,), dtype=float32)"
"tf.Tensor([64.65223], shape=(1,), dtype=float32)"
"tf.Tensor([90.02478], shape=(1,), dtype=float32)"
"tf.Tensor([69.65512], shape=(1,), dtype=float32)"
"tf.Tensor([92.13362], shape=(1,), dtype=float32)"
"tf.Tensor([61.301247], shape=(1,), dtype=float32)"
"tf.Tensor([84.064255], shape=(1,), dtype=float32)"
"tf.Tensor([96.26924], shape=(1,), dtype=float32)"
"tf.Tensor([60.69013], shape=(1,), dtype=float32)"
"tf.Tensor([89.13974], shape=(1,), dtype=float32)"
"tf.Tensor([65.98326], shape=(1,), dtype=float32)"
"tf.Tensor([95.2447], shape=(1,), dtype=float32)"
"tf.Tensor([65.154785], shape=(1,), dtype=float32)"
"tf.Tensor([102.84119], shape=(1,), dtype=float32)"
"tf.Tensor([67.69702], shape=(1,), dtype=float32)"
"tf.Tensor([98.07076], shape=(1,), dtype=float32)"
"tf.Tensor([99.241936], shape=(1,), dtype=float32)"
"tf.Tensor([64.62565], shape=(1,), dtype=float32)"
"tf.Tensor([106.40232], shape=(1,), dtype=float32)"
"tf.Tensor([67.63392], shape=(1,), dtype=float32)"
"tf.Tensor([77.458], shape=(1,), dtype=float32)"
"tf.Tensor([102.312096], shape=(1,), dtype=float32)"
"tf.Tensor([71.09641], shape=(1,), dtype=float32)"
"tf.Tensor([100.94026], shape=(1,), dtype=float32)"
"tf.Tensor([102.78472], shape=(1,), dtype=float32)"
"tf.Tensor([83.84067], shape=(1,), dtype=float32)"
"tf.Tensor([66.77373], shape=(1,), dtype=float32)"
"tf.Tensor([101.35513], shape=(1,), dtype=float32)"
"tf.Tensor([72.591805], shape=(1,), dtype=float32)"
"tf.Tensor([94.81784], shape=(1,), dtype=float32)"
"tf.Tensor([69.3815], shape=(1,), dtype=float32)"
"tf.Tensor([98.02122], shape=(1,), dtype=float32)"
"tf.Tensor([66.34929], shape=(1,), dtype=float32)"
"tf.Tensor([103.42268], shape=(1,), dtype=float32)"
"tf.Tensor([98.23773], shape=(1,), dtype=float32)"
"tf.Tensor([69.09727], shape=(1,), dtype=float32)"
"tf.Tensor([77.57961], shape=(1,), dtype=float32)"
"tf.Tensor([105.51291], shape=(1,), dtype=float32)"
"tf.Tensor([101.008835], shape=(1,), dtype=float32)"
"tf.Tensor([76.62166], shape=(1,), dtype=float32)"
"tf.Tensor([75.241806], shape=(1,), dtype=float32)"
"tf.Tensor([104.65933], shape=(1,), dtype=float32)"
"tf.Tensor([105.37419], shape=(1,), dtype=float32)"
"tf.Tensor([66.405624], shape=(1,), dtype=float32)"
"tf.Tensor([79.934875], shape=(1,), dtype=float32)"
"tf.Tensor([107.35642], shape=(1,), dtype=float32)"
"tf.Tensor([85.98357], shape=(1,), dtype=float32)"
"tf.Tensor([109.56623], shape=(1,), dtype=float32)"
"tf.Tensor([106.19233], shape=(1,), dtype=float32)"
"tf.Tensor([78.446434], shape=(1,), dtype=float32)"
"tf.Tensor([87.71063], shape=(1,), dtype=float32)"
"tf.Tensor([108.11987], shape=(1,), dtype=float32)"
"tf.Tensor([107.423874], shape=(1,), dtype=float32)"
"tf.Tensor([79.57263], shape=(1,), dtype=float32)"
"tf.Tensor([88.82944], shape=(1,), dtype=float32)"
"tf.Tensor([108.420975], shape=(1,), dtype=float32)"
"tf.Tensor([84.831635], shape=(1,), dtype=float32)"
"tf.Tensor([108.526184], shape=(1,), dtype=float32)"
"tf.Tensor([110.05945], shape=(1,), dtype=float32)"
"tf.Tensor([83.412964], shape=(1,), dtype=float32)"
"tf.Tensor([103.39983], shape=(1,), dtype=float32)"
"tf.Tensor([88.89418], shape=(1,), dtype=float32)"
"tf.Tensor([100.048035], shape=(1,), dtype=float32)"
"tf.Tensor([114.189255], shape=(1,), dtype=float32)"
"tf.Tensor([90.14109], shape=(1,), dtype=float32)"
"tf.Tensor([111.438614], shape=(1,), dtype=float32)"
"tf.Tensor([84.60597], shape=(1,), dtype=float32)"
"tf.Tensor([114.3584], shape=(1,), dtype=float32)"
"tf.Tensor([110.24682], shape=(1,), dtype=float32)"
"tf.Tensor([93.12422], shape=(1,), dtype=float32)"
"tf.Tensor([111.6483], shape=(1,), dtype=float32)"
"tf.Tensor([85.479965], shape=(1,), dtype=float32)"
"tf.Tensor([92.30802], shape=(1,), dtype=float32)"
"tf.Tensor([105.91818], shape=(1,), dtype=float32)"
"tf.Tensor([103.54411], shape=(1,), dtype=float32)"
"tf.Tensor([97.21214], shape=(1,), dtype=float32)"
"tf.Tensor([92.53568], shape=(1,), dtype=float32)"
"tf.Tensor([109.37237], shape=(1,), dtype=float32)"
"tf.Tensor([113.34206], shape=(1,), dtype=float32)"
"tf.Tensor([93.139175], shape=(1,), dtype=float32)"
"tf.Tensor([105.96196], shape=(1,), dtype=float32)"
"tf.Tensor([110.00769], shape=(1,), dtype=float32)"
"tf.Tensor([99.58827], shape=(1,), dtype=float32)"
"tf.Tensor([79.134964], shape=(1,), dtype=float32)"
"tf.Tensor([90.5954], shape=(1,), dtype=float32)"
"tf.Tensor([110.122284], shape=(1,), dtype=float32)"
"tf.Tensor([80.90599], shape=(1,), dtype=float32)"
"tf.Tensor([109.54286], shape=(1,), dtype=float32)"
"tf.Tensor([114.53768], shape=(1,), dtype=float32)"
"tf.Tensor([86.17203], shape=(1,), dtype=float32)"
"tf.Tensor([93.27402], shape=(1,), dtype=float32)"
"tf.Tensor([111.587326], shape=(1,), dtype=float32)"
"tf.Tensor([95.20485], shape=(1,), dtype=float32)"
"tf.Tensor([109.49305], shape=(1,), dtype=float32)"
"tf.Tensor([101.86146], shape=(1,), dtype=float32)"
"tf.Tensor([85.98364], shape=(1,), dtype=float32)"
"tf.Tensor([93.772766], shape=(1,), dtype=float32)"
"tf.Tensor([109.46088], shape=(1,), dtype=float32)"
"tf.Tensor([105.476845], shape=(1,), dtype=float32)"
"tf.Tensor([77.45679], shape=(1,), dtype=float32)"
"tf.Tensor([84.01679], shape=(1,), dtype=float32)"
"tf.Tensor([109.349686], shape=(1,), dtype=float32)"
"tf.Tensor([81.27081], shape=(1,), dtype=float32)"
"tf.Tensor([101.78731], shape=(1,), dtype=float32)"
"tf.Tensor([105.52162], shape=(1,), dtype=float32)"
"tf.Tensor([70.42425], shape=(1,), dtype=float32)"
"tf.Tensor([77.56004], shape=(1,), dtype=float32)"
"tf.Tensor([101.50317], shape=(1,), dtype=float32)"
"tf.Tensor([94.35156], shape=(1,), dtype=float32)"
"tf.Tensor([72.52315], shape=(1,), dtype=float32)"
"tf.Tensor([100.416435], shape=(1,), dtype=float32)"
"tf.Tensor([68.66986], shape=(1,), dtype=float32)"
"tf.Tensor([80.23854], shape=(1,), dtype=float32)"
"tf.Tensor([109.94515], shape=(1,), dtype=float32)"
"tf.Tensor([104.49429], shape=(1,), dtype=float32)"
"tf.Tensor([73.21596], shape=(1,), dtype=float32)"
"tf.Tensor([76.08458], shape=(1,), dtype=float32)"
"tf.Tensor([96.0881], shape=(1,), dtype=float32)"
"tf.Tensor([62.044743], shape=(1,), dtype=float32)"
"tf.Tensor([91.8521], shape=(1,), dtype=float32)"
"tf.Tensor([59.397423], shape=(1,), dtype=float32)"
"tf.Tensor([86.15544], shape=(1,), dtype=float32)"
"tf.Tensor([86.133194], shape=(1,), dtype=float32)"
"tf.Tensor([64.78735], shape=(1,), dtype=float32)"
"tf.Tensor([78.438095], shape=(1,), dtype=float32)"
"tf.Tensor([58.199623], shape=(1,), dtype=float32)"
"tf.Tensor([72.18348], shape=(1,), dtype=float32)"
"tf.Tensor([62.818092], shape=(1,), dtype=float32)"
"tf.Tensor([65.99997], shape=(1,), dtype=float32)"
"tf.Tensor([72.89027], shape=(1,), dtype=float32)"
"tf.Tensor([52.344616], shape=(1,), dtype=float32)"
"tf.Tensor([67.95598], shape=(1,), dtype=float32)"
"tf.Tensor([50.29712], shape=(1,), dtype=float32)"
"tf.Tensor([61.828583], shape=(1,), dtype=float32)"
"tf.Tensor([57.35819], shape=(1,), dtype=float32)"
"tf.Tensor([60.04692], shape=(1,), dtype=float32)"
"tf.Tensor([47.05063], shape=(1,), dtype=float32)"
"tf.Tensor([60.799408], shape=(1,), dtype=float32)"
"tf.Tensor([56.307632], shape=(1,), dtype=float32)"
"tf.Tensor([50.453285], shape=(1,), dtype=float32)"
"tf.Tensor([46.14411], shape=(1,), dtype=float32)"
"tf.Tensor([51.15177], shape=(1,), dtype=float32)"
"tf.Tensor([47.832283], shape=(1,), dtype=float32)"
"tf.Tensor([50.49768], shape=(1,), dtype=float32)"
"tf.Tensor([48.560112], shape=(1,), dtype=float32)"
"tf.Tensor([48.041367], shape=(1,), dtype=float32)"
"tf.Tensor([47.802666], shape=(1,), dtype=float32)"
